word_count,sentence_count,avg_sentence_len,legal_density,char_count,unique_words,lexical_richness,year,cohort,outcome
5433,181,30.07,0.2393,32474,1180,0.2264,1990,A_1990_2000,0
7162,396,18.04,0.0977,42294,1420,0.2093,1990,A_1990_2000,0
499,26,18.65,1.2024,3081,261,0.5491,1990,A_1990_2000,0
2676,122,21.95,0.2242,16001,701,0.2803,1990,A_1990_2000,0
5425,224,24.12,0.2028,31401,1064,0.2098,1990,A_1990_2000,0
5944,267,22.3,0.2355,34298,1291,0.2303,1990,A_1990_2000,0
2540,150,16.95,0.315,14540,697,0.2906,1990,A_1990_2000,0
551,32,17.12,1.0889,3384,268,0.5245,1990,A_1990_2000,1
2217,115,19.17,0.406,12755,602,0.2891,1990,A_1990_2000,0
3769,261,14.56,0.3449,22312,874,0.2444,1990,A_1990_2000,1
5170,257,20.09,0.2321,30166,1259,0.2567,1990,A_1990_2000,1
1294,83,15.52,0.6955,7599,475,0.391,1990,A_1990_2000,0
4899,281,17.29,0.2449,28478,1180,0.258,1990,A_1990_2000,2
4640,194,23.86,0.1509,26898,1193,0.2687,1990,A_1990_2000,1
7000,363,19.01,0.2571,39975,1419,0.2154,1990,A_1990_2000,1
1401,72,19.36,0.4996,8171,451,0.3348,1990,A_1990_2000,1
3456,170,20.25,0.2894,21039,865,0.2705,1990,A_1990_2000,0
4604,190,24.17,0.2389,27239,1135,0.2624,1990,A_1990_2000,0
5179,207,25.11,0.3089,29596,1277,0.262,1990,A_1990_2000,0
2166,119,18.13,0.5078,13008,756,0.3675,1990,A_1990_2000,0
7547,298,25.25,0.1458,44357,1458,0.203,1990,A_1990_2000,1
2282,147,15.35,0.3067,13335,690,0.323,1990,A_1990_2000,0
2646,135,19.59,0.5291,16475,815,0.3212,1990,A_1990_2000,0
3660,153,23.94,0.2732,21393,938,0.2683,1990,A_1990_2000,1
1544,105,14.45,0.4534,8832,556,0.375,1990,A_1990_2000,0
4283,222,19.05,0.1868,24323,743,0.1809,1990,A_1990_2000,1
1174,50,23.14,0.6814,6892,461,0.408,1990,A_1990_2000,0
14031,623,22.42,0.0855,83615,2509,0.1911,1990,A_1990_2000,1
1972,66,29.68,0.4564,11584,565,0.3063,1990,A_1990_2000,0
2991,128,23.21,0.3678,17864,883,0.3096,1990,A_1990_2000,1
1737,74,23.38,0.5181,10365,574,0.3512,1990,A_1990_2000,1
2697,141,19.0,0.3337,15808,708,0.2836,1990,A_1990_2000,1
4123,173,23.69,0.2425,24369,978,0.2505,1990,A_1990_2000,1
729,36,20.06,0.9602,4317,263,0.3759,1990,A_1990_2000,1
2102,103,20.58,0.5233,13002,561,0.2769,1990,A_1990_2000,0
2701,110,24.52,0.3702,15914,764,0.3054,1990,A_1990_2000,0
9204,522,17.23,0.1521,53277,2158,0.2451,1990,A_1990_2000,0
6707,310,21.54,0.2087,38970,1472,0.2327,1990,A_1990_2000,1
716,42,16.79,0.838,4273,339,0.4902,1990,A_1990_2000,0
6186,346,17.79,0.1778,37279,1417,0.2451,1990,A_1990_2000,1
7518,269,27.98,0.133,42295,1381,0.1943,1990,A_1990_2000,1
6645,288,23.0,0.1204,37778,1503,0.2364,1990,A_1990_2000,0
6427,255,25.16,0.1712,37067,1199,0.1971,1990,A_1990_2000,2
13932,563,24.59,0.1436,83074,2448,0.1872,1990,A_1990_2000,0
6300,313,19.91,0.1905,38210,1288,0.2198,1990,A_1990_2000,0
2487,122,20.11,0.3217,15064,673,0.2891,1990,A_1990_2000,1
1953,111,17.51,0.4096,11505,696,0.3702,1990,A_1990_2000,1
2834,112,25.18,0.3881,16698,787,0.2932,1990,A_1990_2000,1
5606,229,24.43,0.1605,32601,1199,0.2287,1990,A_1990_2000,1
853,49,17.1,0.7034,4935,314,0.3892,1990,A_1990_2000,1
1529,99,15.39,0.5886,8794,470,0.3329,1990,A_1990_2000,1
756,43,17.14,1.1905,4246,321,0.4405,1990,A_1990_2000,1
2669,151,17.56,0.4496,16470,700,0.2829,1990,A_1990_2000,0
1695,74,22.39,0.413,9681,490,0.3038,1990,A_1990_2000,2
6613,330,19.82,0.1663,38344,1703,0.2713,1990,A_1990_2000,1
1704,76,22.32,0.5869,10217,540,0.3339,1990,A_1990_2000,0
4411,191,22.96,0.1814,25647,1030,0.2489,1990,A_1990_2000,0
3258,141,23.09,0.2455,19259,724,0.2382,1990,A_1990_2000,1
576,31,18.23,1.3889,3489,269,0.5035,1990,A_1990_2000,0
2822,164,17.18,0.3898,16502,882,0.3303,1990,A_1990_2000,1
5868,246,23.87,0.1534,33551,1140,0.2064,1990,A_1990_2000,1
3630,186,19.42,0.1928,21519,1034,0.308,1990,A_1990_2000,0
3091,165,18.69,0.2912,18570,884,0.307,1990,A_1990_2000,1
12900,518,24.9,0.0853,76788,2207,0.1833,1990,A_1990_2000,1
8139,428,18.99,0.1106,46457,1689,0.2193,1990,A_1990_2000,0
1912,123,15.46,0.4707,11357,552,0.3154,1990,A_1990_2000,1
1618,111,14.54,0.4326,9674,552,0.3634,1990,A_1990_2000,1
11148,505,22.0,0.1525,64844,2141,0.2029,1990,A_1990_2000,0
3030,170,17.77,0.396,18396,869,0.3046,1990,A_1990_2000,1
671,35,18.89,1.0432,3977,302,0.4665,1990,A_1990_2000,1
649,39,16.49,0.4622,3915,283,0.4545,1990,A_1990_2000,0
32983,1514,21.68,0.0546,192398,4104,0.1326,1990,A_1990_2000,1
2437,112,21.72,0.4103,14521,597,0.2643,1990,A_1990_2000,0
5567,241,22.9,0.1437,32297,1474,0.275,1990,A_1990_2000,0
5532,272,20.38,0.2531,33673,1219,0.2354,1990,A_1990_2000,1
1150,51,22.57,0.5217,7049,471,0.427,1990,A_1990_2000,0
633,32,19.72,1.2638,3873,336,0.575,1990,A_1990_2000,2
6423,254,24.97,0.1557,37731,1243,0.204,1990,A_1990_2000,2
5642,244,22.89,0.2659,32645,1086,0.2061,1990,A_1990_2000,0
2250,167,13.5,0.3111,13065,718,0.3351,1990,A_1990_2000,1
6283,393,15.93,0.2387,35779,1155,0.1954,1990,A_1990_2000,1
4763,163,28.91,0.189,28680,1079,0.2452,1991,A_1990_2000,0
23815,1238,19.15,0.126,140235,3721,0.1657,1991,A_1990_2000,0
1146,60,18.87,0.349,6912,386,0.3499,1991,A_1990_2000,1
740,42,17.48,0.9459,4221,342,0.4824,1991,A_1990_2000,1
2690,114,23.45,0.3346,15457,638,0.2561,1991,A_1990_2000,1
6319,278,22.82,0.1266,38604,1142,0.1926,1991,A_1990_2000,1
1090,65,16.65,0.6422,6330,395,0.3817,1991,A_1990_2000,2
4544,217,20.85,0.1761,26143,955,0.2223,1991,A_1990_2000,0
820,46,17.46,1.4634,4761,308,0.3915,1991,A_1990_2000,1
3830,209,18.22,0.2089,22263,884,0.2428,1991,A_1990_2000,0
7684,270,28.29,0.1952,45925,1292,0.1778,1991,A_1990_2000,1
1992,89,22.13,0.4016,11984,501,0.2681,1991,A_1990_2000,2
1813,122,14.84,0.4413,10725,534,0.321,1991,A_1990_2000,1
11448,392,29.24,0.1398,68148,2054,0.1897,1991,A_1990_2000,0
5464,198,27.47,0.2928,32789,1256,0.2421,1991,A_1990_2000,0
3774,152,24.76,0.3975,22693,940,0.2629,1991,A_1990_2000,1
6815,436,15.27,0.1614,40274,1387,0.2173,1991,A_1990_2000,0
2871,154,18.56,0.209,16938,758,0.2821,1991,A_1990_2000,0
10821,540,19.99,0.0647,63500,1984,0.1918,1991,A_1990_2000,0
1271,103,12.12,0.5507,7448,437,0.3745,1991,A_1990_2000,0
2914,164,17.73,0.2402,17013,717,0.2625,1991,A_1990_2000,1
3509,159,22.19,0.342,20937,800,0.2425,1991,A_1990_2000,1
1758,95,18.48,0.3413,10133,436,0.2656,1991,A_1990_2000,1
656,35,18.4,1.0671,3904,305,0.4878,1991,A_1990_2000,1
20077,881,22.75,0.0797,118660,3098,0.1663,1991,A_1990_2000,0
1989,74,26.8,0.4525,11631,577,0.3107,1991,A_1990_2000,1
3043,156,19.33,0.1972,18075,760,0.2642,1991,A_1990_2000,1
12706,693,18.39,0.0866,74020,2345,0.1972,1991,A_1990_2000,2
